Blog	hard	ago	weekend	set	yet	different	course	almost	during	actually	high	least	called	everyone	room	minutes	start	already	bad	everything	past	school	myself	wanted	show	maybe	later	hope	half	far	its	th	able	couple	along	side	anything	white	doesn	dinner	tell	remember	trying	red	hot	finally	kids	book	decided	might	must	working	probably	between	favorite	hand	nothing	kind	coming	eat	weeks	enjoy	free	cool	beautiful	someone	sunday	yesterday	stuff	soon	picture	oh	less	point	seems	live	add	saw	ready	won	large	head	man	under	name	second	sweet	real	easy	early	comes	months	summer	birthday	trip	taking	green	idea	pictures	watch	outside	yes	especially	story	told	person	cold	using	light	saturday	often	spent	seen	instead	mind	open	rest	call	else	leave	friday	sometimes	month	black	hour	wasn	fact	perfect	believe	mom	fresh	buy	lots	play	visit	bring	wait	check	weather	cup	lunch	needed	store	however	stop	several	four	cut	children	reading	run	front	recipe	thinking	looks	turn	special	late	bought	local	rather	isn	party	thanks	close	goes	guess	car	taken	cream	wonderful	gave	money	usually	either	share	living	line	ones	asked	sugar	short	others	warm	tried	looked	case	girl	baby	list	job	stay	turned	tomorrow	evening	simple	couldn	change	city	season	heart	haven	anyone	mother	face	means	walk	bed	area	order	young	kitchen	thank	amazing	monday	chocolate	cheese	interesting	loved	fine	town	spring	anyway	table	above	mean	please	christmas	taste	become	inside	feeling	tonight	felt	butter	c	talk	gone	care	reason	eating	behind	fall	knew	heat	etc	gets	heard	ask	brought	seem	books	worth	lost	although	group	cake	across	playing	cook	five	busy	chicken	coffee	boy	photo	watching	paper	amp	perhaps	oil	country	true	given	bread	ice	important	music	ok	spend	st	bowl	nbsp	meal	movie	ground	winter	number	salt	known	sun	door	sister	style	including	afternoon	extra	god	mix	word	cooking	dry	longer	wish	piece	milk	cute	words	dark	experience	low	huge	guy	air	clean	worked	hear	enjoyed	rain	write	sit	works	pick	com	blue	quickly	move	wine	box	brown	bag	talking	waiting	class	eyes	running	plan	woman	fruit	eggs	news	delicious	hands	near	tree	garden	plus	american	baking	office	pieces	finished	drink	company	age	size	sitting	sort	gift	kept	middle	note	e	sleep	cover	photos	wrong	mine	game	child	lovely	added	excited	wouldn	street	dad	restaurant	pm	needs	miss	egg	takes	except	ingredients	state	cups	hit	simply	business	type	break	flour	husband	drive	future	church	learn	parents	snow	minute	says	fast	quick	due	sauce	oven	breakfast	forward	park	learned	lives	certainly	moment	serve	recently	following	completely	shopping	glass	road	matter	color	dish	seeing	moved	problem	pepper	center	b	wonder	sense	phone	met	salad	available	non	happened	pan	whatever	leaves	deal	space	girls	view	men	body	stand	holiday	song	seemed	history	picked	saying	understand	art	bottom	mixture	super	possible	form	played	places	p	shop	women	single	pay	amount	giving	site	rice	process	french	crazy	boys	below	bake	event	meet	finish	price	garlic	watched	starting	main	against	walking	tea	funny	hold	chance	recipes	writing	project	served	six	market	x	soup	juice
The FDC Report	0	2	9	3	1	2	2	4	3	3	4	1	2	0	1	0	3	1	2	2	3	5	1	3	1	3	2	2	0	1	2	10	11	0	1	6	0	5	2	1	1	3	4	0	0	3	4	2	4	2	1	1	4	1	2	0	0	4	1	0	1	0	2	1	1	1	1	1	0	2	2	0	2	0	2	1	0	10	0	2	0	0	4	0	0	1	0	1	0	2	2	0	0	1	8	0	1	2	12	3	0	0	2	2	0	0	0	0	0	0	0	0	4	0	1	2	2	0	0	0	1	0	0	4	1	1	3	0	1	2	0	0	0	3	2	1	0	4	0	0	0	0	1	1	1	0	2	0	0	0	1	3	0	1	1	0	0	0	0	0	0	2	0	0	1	1	1	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	1	0	7	3	0	1	3	0	0	0	4	0	4	1	0	0	0	5	0	0	0	7	0	1	3	1	5	0	1	1	0	0	0	1	3	1	0	1	0	0	2	2	1	2	1	1	1	1	0	0	1	2	0	1	1	0	0	1	2	1	0	1	2	0	1	0	0	0	0	0	0	1	2	0	0	0	4	1	0	0	1	0	3	0	6	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	1	0	1	2	2	0	0	0	0	0	2	0	2	0	8	2	2	3	1	0	0	3	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	1	2	1	1	0	0	0	0	2	3	1	0	0	0	1	0	2	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	2	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	3	1	0	2	1	0	0	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	2	4	0	1	0	1	1	2	0	2	3	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	5	0	2	0	2	0	1	0	0	0	0	1	0	0	0	0
Element Zero	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The True Meaning Of Food	0	0	0	0	0	1	0	0	2	1	0	0	0	2	0	0	0	0	5	3	1	0	1	0	0	2	1	0	3	0	0	1	0	2	2	2	0	2	2	6	0	1	0	0	3	1	0	1	1	0	0	0	2	0	0	2	2	2	0	4	1	0	2	0	0	1	1	0	1	0	2	1	0	0	0	1	7	0	0	1	1	0	0	1	1	1	4	3	2	0	0	0	1	2	1	0	2	3	0	0	0	0	0	1	0	0	2	0	0	1	2	0	0	1	0	0	0	1	3	1	0	3	0	2	1	0	0	1	0	2	9	1	1	1	0	1	0	0	1	5	2	0	1	0	0	0	0	0	0	0	1	0	7	0	2	1	0	0	1	1	2	1	0	1	3	2	0	0	0	6	0	0	0	3	1	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	5	7	0	0	1	4	0	1	1	2	0	0	0	1	0	0	0	0	1	3	0	0	0	0	1	7	0	2	0	1	0	0	0	0	0	1	0	1	1	3	0	5	0	0	2	0	0	1	0	0	0	0	1	0	0	3	1	5	0	3	2	0	0	0	0	0	0	0	0	0	1	1	0	3	0	1	0	0	1	0	0	1	0	3	0	1	1	0	0	0	3	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	3	2	4	0	0	0	0	0	0	1	2	0	5	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	4	0	0	1	4	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	4	0	0	1	4	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	1	0	5	0	1	0	0	0	0	5	0	0	1	0	2	0	0	0	0	1	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	6	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	8	1
Vinson Boys	1	3	2	2	0	1	1	1	2	0	0	2	0	2	6	1	2	0	0	0	2	0	0	7	1	0	3	0	0	2	1	0	1	0	0	1	1	1	0	2	3	3	5	0	1	0	0	3	0	1	0	0	0	0	5	1	0	1	2	0	2	2	2	0	1	3	1	3	0	1	5	2	1	1	2	1	0	2	2	1	0	1	0	1	0	1	5	0	2	2	1	0	0	4	5	0	0	1	7	1	2	3	0	2	0	7	0	0	1	0	0	4	11	0	0	3	0	1	0	0	1	1	1	0	1	0	0	3	0	8	1	0	3	1	2	1	2	4	0	1	2	1	0	0	1	0	0	2	7	1	2	1	0	2	0	0	0	0	2	2	0	1	2	3	2	1	0	3	3	0	3	2	1	1	2	5	0	0	4	1	0	0	0	0	1	0	1	4	3	4	1	0	1	6	2	0	0	2	0	1	6	0	1	2	5	0	0	3	0	0	0	5	4	1	1	0	0	1	10	0	0	0	0	0	0	1	4	9	0	1	0	1	3	1	0	1	1	8	1	2	1	1	2	0	1	0	0	0	1	0	0	1	0	3	0	0	0	1	3	0	0	0	0	1	2	0	5	0	1	0	0	1	0	4	0	0	0	1	3	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	5	0	0	0	2	0	1	0	0	2	1	1	0	1	0	1	0	1	1	0	3	1	0	4	0	0	2	0	1	0	0	1	0	0	0	0	1	1	2	1	0	0	0	0	0	1	1	5	1	1	0	0	1	0	0	0	0	1	0	1	0	2	0	1	2	1	2	1	0	0	1	0	3	0	0	0	0	0	1	1	0	2	0	0	2	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	7	2	0	0	1	1	0	0	1	2	0	0	1	0	2	0	2	0	0	2	0	1	0	0	0	2	2	0	0	1	3	2	1	1	2	0	0	1	0	0	0	0	0	1	0	0	3	1	2	4	1	0	1	0	2	1	1	0	0	1	0	0	2	0	2	0	1	0	1	0	2	1	0	1	0	5	13	0	0	0	2	0	0	0	4	0	0	1	0	0	1	3	0	0	2	0	2	1	0	0	1	0
The Fritz Facts	4	0	1	2	0	0	2	1	0	0	0	1	0	2	2	5	1	0	2	0	0	0	0	2	1	0	1	0	0	0	0	1	0	2	0	2	2	0	2	0	1	0	0	0	3	1	3	1	1	0	0	0	0	1	0	2	2	0	2	0	0	2	0	1	0	0	0	4	0	0	0	5	0	1	1	0	0	1	4	0	0	1	4	0	0	0	0	0	1	0	1	1	0	4	1	0	0	0	1	1	1	2	0	1	1	0	2	1	4	2	0	2	2	0	2	0	1	0	0	0	2	0	0	0	0	2	0	1	0	3	0	0	1	0	0	0	3	0	0	0	1	0	1	0	2	0	0	0	0	1	1	0	0	2	0	2	0	1	0	0	0	3	2	0	0	1	0	1	0	0	0	0	1	0	2	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	2	1	1	0	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	3	1	2	0	0	0	0	0	0	3	2	0	0	1	2	0	0	0	3	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	2	1	0	0	2	1	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	2	0	2	1	2	0	0	0	1	1	0	1	1	0	0	0	1	0	0	2	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0
PostcardsfromOMAHA	3	3	2	4	8	0	7	2	0	4	4	5	7	1	2	1	1	2	1	1	5	2	8	0	8	2	2	3	4	3	1	9	1	4	1	1	0	3	1	5	2	1	0	0	1	2	1	3	5	4	3	2	0	2	1	2	0	1	2	4	1	0	4	2	0	0	1	2	0	1	0	6	0	0	0	5	0	2	2	0	0	3	2	0	2	2	3	2	0	0	0	1	1	1	3	0	0	1	0	2	0	2	2	1	3	2	0	0	0	0	1	0	0	4	2	3	3	1	0	3	0	0	5	2	0	1	3	1	3	0	3	1	0	1	1	0	1	0	0	0	1	2	3	0	1	1	0	1	0	0	3	1	0	0	1	1	1	1	1	5	0	0	1	2	0	1	2	8	0	3	1	0	2	0	0	0	1	4	0	4	0	0	0	0	0	5	0	0	4	2	5	0	0	0	5	0	3	0	12	1	0	5	0	0	1	2	1	1	2	2	1	0	1	2	0	1	1	2	3	0	2	1	2	1	0	4	0	1	1	2	0	1	1	0	0	3	3	0	0	1	2	0	2	1	1	0	0	1	0	0	1	2	0	3	2	0	0	3	1	0	1	0	0	1	2	1	4	1	0	3	0	1	4	0	0	2	0	2	1	0	1	0	0	1	2	0	1	0	1	1	0	4	0	0	1	2	0	1	0	0	0	0	0	2	0	0	2	0	0	2	0	0	1	4	1	0	1	0	0	6	2	0	3	0	4	1	3	4	5	0	1	2	0	0	0	1	0	0	0	1	0	4	0	1	1	1	2	1	0	7	0	0	1	1	1	1	4	1	1	0	0	0	1	2	0	0	0	1	1	1	0	0	0	3	4	0	1	3	0	8	0	0	3	0	2	0	1	0	5	2	0	0	1	5	1	0	1	0	1	0	0	2	0	1	0	0	1	0	1	0	0	0	1	2	3	0	1	1	0	0	3	0	1	0	2	0	0	0	1	0	0	1	3	1	0	0	1	0	0	0	1	3	1	0	6	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	4	0	2	1	5	2	0	0	0	0	0	0	0	0	2	0	0	2	0	1	1	0	1	2	1	0	0	1	5	3	1	0	1	0	0	1	0	0	0	0
Island Snikles	2	0	3	1	1	0	2	0	0	3	2	2	5	1	6	0	1	1	1	1	1	0	0	0	0	1	1	0	0	1	2	3	0	11	3	0	0	2	1	3	2	0	0	3	2	4	2	1	0	1	3	1	0	4	1	1	3	0	8	4	0	0	1	0	0	3	2	0	1	1	1	4	1	1	2	4	0	1	3	1	0	2	1	2	1	1	3	7	0	1	1	3	1	2	0	0	0	3	3	1	2	3	2	1	2	1	4	1	1	0	1	2	2	0	0	1	1	2	3	1	0	3	2	0	2	0	0	2	0	1	1	0	0	2	2	0	0	3	0	0	0	0	0	0	1	0	1	0	1	0	0	3	0	0	1	0	1	0	0	0	0	1	2	6	0	1	3	1	2	0	0	1	3	0	3	1	0	0	0	4	0	4	0	0	0	0	0	0	0	5	1	1	0	0	1	0	0	1	5	0	0	0	6	1	0	1	0	2	1	0	3	0	1	1	0	0	1	0	0	2	1	1	3	0	1	1	1	3	0	0	0	0	0	0	0	0	0	0	2	1	2	0	1	0	0	2	2	0	4	2	0	0	0	1	0	0	0	1	0	0	0	5	0	0	0	6	0	0	0	0	1	3	1	0	0	0	2	0	4	1	7	0	0	1	0	1	1	1	0	2	0	1	1	1	3	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	3	3	0	0	1	2	0	0	5	1	0	0	0	0	1	0	0	2	0	0	0	2	0	0	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	3	0	1	1	0	0	0	1	0	0	0	0	0	0	5	0	1	0	0	0	8	0	0	0	1	0	4	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	3	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	2	1	0	5	0	0	0	1	1	2	1	1	0	0	0	0	2	0	0	2	0	0	0
American Bushman	0	2	0	2	0	0	0	0	0	2	0	0	1	1	0	1	0	2	1	0	2	0	2	1	0	1	2	1	0	2	0	1	1	0	3	0	0	0	1	0	0	0	2	0	1	3	5	0	1	2	3	0	1	1	1	0	1	2	2	0	1	0	0	0	0	1	3	4	2	1	1	1	0	1	0	0	1	0	3	0	0	2	0	0	0	4	0	1	3	1	1	2	1	0	1	1	0	1	2	1	0	0	0	0	0	0	3	1	2	0	0	2	0	0	2	0	0	0	1	0	0	1	1	0	0	2	1	0	0	0	1	1	1	0	0	0	0	1	1	2	0	1	2	2	0	3	2	0	0	4	0	0	0	2	2	0	1	1	0	1	0	3	0	5	3	0	1	1	0	0	0	1	0	1	0	1	0	0	1	0	0	2	1	7	1	1	0	1	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	2	0	1	0	0	2	1	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	2	0	2	1	2	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	2	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	1	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Annalena's kitchen	1	0	1	2	3	3	2	4	2	1	1	3	6	8	3	19	4	2	2	4	3	0	3	0	1	4	3	2	6	0	2	0	0	0	2	5	4	5	5	8	2	3	1	2	6	0	0	1	0	1	0	4	1	0	2	4	2	2	2	12	0	1	1	2	0	6	0	0	8	2	1	2	3	3	3	1	16	0	1	4	5	0	2	2	1	3	3	4	6	0	3	2	0	0	0	0	4	3	1	0	0	3	3	1	1	0	5	5	0	3	2	1	1	0	3	1	2	3	9	3	1	2	1	0	3	1	5	1	2	0	3	3	1	2	0	2	1	0	1	4	5	0	0	1	2	0	1	5	0	1	2	1	17	3	1	4	0	2	1	0	1	1	0	0	0	0	2	0	0	9	11	1	0	1	2	2	0	2	5	0	4	0	0	8	1	1	2	0	0	1	0	0	0	0	0	0	0	6	0	1	1	1	9	0	0	1	0	0	0	2	0	4	1	0	0	0	10	2	0	1	2	0	1	0	0	5	2	0	2	0	0	0	0	0	6	0	2	1	0	3	4	0	0	2	8	0	0	1	3	0	1	1	0	0	0	1	9	0	2	13	6	1	8	3	1	0	1	5	0	1	6	0	0	1	37	0	3	2	1	0	0	5	0	4	0	0	0	0	10	0	0	0	0	0	0	2	2	3	1	0	9	4	2	0	1	0	0	1	0	2	3	2	4	0	0	2	0	1	0	0	1	3	1	0	0	1	1	0	1	0	2	0	1	0	0	2	0	1	2	2	0	1	2	0	0	0	0	1	12	0	2	0	2	1	0	2	0	2	2	0	1	1	0	0	4	0	5	1	0	0	1	1	0	0	0	0	3	0	0	0	0	1	1	4	0	7	0	0	1	1	1	10	0	0	0	0	2	0	0	2	0	0	0	0	3	9	0	0	0	1	0	0	0	1	0	1	2	2	2	0	0	0	0	1	0	1	0	0	1	2	1	0	0	3	1	0	1	14	3	0	1	1	0	1	0	0	1	0	0	0	1	0	3	1	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	3	1	0	0	0	0	1	0	1	1	1	0	6	0	0	1	6	7	8	16	4
Perk Family Blog	0	0	4	1	0	0	1	0	0	0	0	1	3	3	0	0	0	1	0	0	2	0	0	0	5	0	1	0	2	0	1	2	1	3	2	1	1	3	0	2	1	0	0	1	0	1	0	3	1	0	3	0	0	0	0	0	0	1	1	4	2	0	4	3	2	0	5	1	0	1	1	1	0	0	0	0	0	2	0	1	0	3	0	0	0	2	0	0	0	2	0	0	1	1	0	1	0	0	2	9	1	0	2	1	2	0	2	1	1	8	0	3	0	0	0	1	2	0	0	0	5	0	0	1	2	0	1	1	0	0	0	2	4	1	1	0	1	2	0	6	2	0	0	1	1	0	1	2	0	1	0	0	0	0	1	0	1	2	1	1	1	0	7	0	1	0	0	1	1	1	0	2	1	0	0	1	1	1	1	0	0	0	0	1	0	2	0	0	4	0	0	2	1	1	5	1	1	0	0	0	0	0	0	0	1	0	6	5	0	0	0	0	3	3	2	0	0	2	1	0	7	0	0	0	0	0	0	11	0	0	1	1	2	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	2	0	1	5	1	4	0	2	2	1	8	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	0	1	0	0	1	0	1	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	1	2	2	0	0	0	0	0	1	1	0	0	0	0	1	0	3	0	0	2	1	0	1	0	1	0	2	1	1	0	1	0	0	1	0	0	0	0	0	0	3	0	0	5	0	4	0	1	0	7	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	1	0	0	1	0	0	0	5	1	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	1	1	0	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	1	3	0	0	3	2	1	0	0	0	2	0	0	1	0	0	0	0
Loose-Limbed Insouciance	5	8	5	3	11	9	8	7	4	13	12	11	8	8	10	33	5	5	12	8	4	6	13	2	5	9	2	0	8	3	12	2	7	1	4	5	13	8	11	13	9	4	1	12	10	6	4	13	12	14	3	6	3	6	2	5	8	7	3	17	1	5	3	9	5	3	0	1	11	1	2	14	3	8	4	5	65	2	2	5	24	2	5	3	3	4	4	2	1	1	2	1	1	0	1	3	12	7	1	1	5	14	2	0	3	3	5	8	39	1	8	5	2	8	12	3	10	4	9	4	11	9	3	3	1	7	10	12	3	5	32	3	4	9	3	11	6	3	0	21	0	5	5	29	3	1	1	16	2	5	4	5	15	10	1	3	2	3	5	1	2	7	2	2	0	4	2	3	1	3	4	3	2	6	6	3	7	1	2	6	8	3	12	5	5	3	4	2	10	4	2	3	4	6	6	7	7	7	19	5	0	8	3	1	1	2	1	8	0	5	2	20	0	10	1	1	8	0	5	4	0	1	4	1	3	4	1	13	16	4	3	4	6	6	18	8	2	1	7	2	7	3	1	3	27	4	3	5	7	3	3	4	4	5	0	6	0	1	1	50	6	4	14	4	0	0	1	6	0	0	35	0	2	3	12	0	3	4	1	5	0	9	0	6	0	6	3	1	23	0	2	2	1	3	2	2	2	3	9	3	30	5	3	1	1	8	1	1	1	8	4	1	1	5	3	2	8	1	1	3	2	3	1	4	8	5	1	13	3	3	0	6	4	8	7	3	3	5	0	1	1	0	1	1	0	2	0	1	8	2	5	3	0	5	2	2	2	5	2	2	2	3	1	10	7	0	3	5	0	5	0	3	1	2	2	0	2	7	2	1	4	3	3	4	6	13	0	0	4	0	3	6	20	0	0	0	1	4	1	7	0	1	2	1	34	6	1	0	3	3	7	1	11	12	1	4	12	0	4	3	6	2	9	1	3	2	11	2	7	2	4	3	1	16	0	1	2	11	3	8	3	7	1	1	0	7	3	0	2	1	3	1	2	2	1	3	1	0	1	0	2	6	0	1	3	4	1	17	3	0	2	2	0	3	1	3	3	1	0	2	0	26	2	1	1	1	1	0	1	1	0	12	2	0	9	4	2	0	30	8
DustysDinners	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	1	0	1	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
