Blog	ago	hard	weekend	set	yet	different	course	almost	during	actually	high	least	called	everyone	room	start	minutes	already	bad	past	school	everything	myself	show	wanted	later	hope	half	maybe	far	its	able	th	couple	along	anything	doesn	white	dinner	tell	side	remember	trying	red	hot	finally	kids	book	might	must	decided	working	probably	between	favorite	nothing	hand	kind	coming	weeks	eat	enjoy	cool	free	beautiful	someone	yesterday	sunday	stuff	soon	oh	picture	less	point	seems	live	add	ready	saw	large	head	won	man	under	second	name	sweet	real	early	birthday	easy	comes	months	summer	green	trip	taking	idea	pictures	outside	watch	yes	told	especially	person	story	cold	using	light	saturday	often	spent	seen	instead	mind	open	rest	call	else	leave	month	friday	black	hour	sometimes	wasn	fact	believe	perfect	fresh	mom	buy	lots	play	visit	bring	check	wait	lunch	cup	weather	store	needed	however	stop	several	four	cut	children	run	reading	recipe	front	thinking	looks	turn	late	special	bought	rather	local	party	isn	close	thanks	guess	goes	car	taken	wonderful	cream	money	gave	usually	either	line	living	share	ones	asked	sugar	short	others	tried	warm	looked	baby	case	girl	job	list	stay	evening	turned	tomorrow	simple	couldn	change	heart	city	season	haven	anyone	mother	means	walk	face	bed	area	order	young	kitchen	amazing	thank	interesting	chocolate	fine	cheese	monday	loved	spring	town	anyway	table	above	mean	please	christmas	taste	become	inside	tonight	c	felt	feeling	butter	care	reason	talk	gone	fall	behind	eating	knew	heat	etc	gets	heard	seem	books	ask	worth	brought	lost	cake	although	group	five	across	playing	cook	busy	coffee	boy	chicken	perhaps	photo	amp	watching	paper	bread	country	oil	true	given	important	ice	music	ok	spend	st	bowl	nbsp	meal	movie	winter	salt	ground	number	known	door	sun	sister	including	style	extra	afternoon	word	god	cooking	dry	mix	milk	longer	cute	piece	words	dark	clean	wish	low	guy	air	experience	worked	huge	enjoyed	hear	write	sit	rain	works	blue	com	pick	quickly	move	box	wine	talking	bag	class	waiting	eyes	brown	plan	delicious	running	fruit	woman	news	eggs	near	tree	hands	baking	plus	office	garden	american	finished	pieces	company	drink	age	sitting	size	gift	sort	kept	cover	middle	e	note	sleep	wrong	photos	mine	game	added	lovely	child	wouldn	excited	dad	restaurant	street	pm	needs	miss	takes	except	state	cups	egg	ingredients	type	business	simply	hit	break	snow	flour	husband	drive	church	learn	future	parents	fast	says	minute	quick	sauce	due	park	oven	breakfast	forward	learned	moment	serve	certainly	following	completely	lives	recently	dish	matter	road	color	shopping	glass	moved	problem	seeing	b	center	wonder	sense	available	pepper	phone	met	salad	non	happened	whatever	leaves	pan	view	space	girls	deal	men	body	holiday	stand	seemed	song	bottom	art	history	picked	saying	mixture	super	understand	possible	p	form	shop	played	places	women	amount	giving	single	pay	site	french	rice	boys	process	below	bake	crazy	event	price	against	garlic	meet	watched	finish	starting	walking	main	recipes	tea	hold	funny	project	chance	market	served	six	writing	x	soup	juice
The FDC Report	2	0	9	3	1	2	2	4	3	3	4	1	2	0	1	3	0	1	2	3	5	2	1	1	3	2	2	0	3	1	2	11	10	0	1	0	2	5	1	1	6	3	4	0	0	3	4	2	2	1	4	1	4	1	2	0	0	4	1	1	0	0	1	2	1	1	1	1	0	2	0	2	2	0	2	1	0	0	10	0	0	2	4	0	1	0	0	1	2	1	0	2	0	0	1	8	0	2	12	0	3	0	0	2	0	2	0	0	0	0	0	0	4	0	1	2	2	0	0	0	0	1	4	1	0	1	3	1	0	0	2	0	0	3	2	1	4	0	0	0	0	1	0	1	1	0	2	0	0	1	0	0	3	1	1	0	0	0	0	0	0	0	2	1	0	1	1	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	7	3	1	3	0	0	4	0	0	4	1	0	0	5	0	7	0	1	0	0	0	1	3	5	0	1	1	0	0	0	1	3	0	0	1	1	0	1	2	2	2	1	1	1	1	0	0	1	2	1	0	0	0	1	1	0	2	1	1	1	2	0	0	0	0	0	0	0	2	0	1	0	0	0	4	1	1	0	0	3	0	6	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	1	2	0	0	1	1	0	0	1	0	2	2	0	0	0	0	2	0	8	0	2	2	3	0	2	0	1	3	0	0	0	0	0	0	3	0	1	0	0	1	0	0	2	0	0	0	1	0	1	0	0	0	2	1	1	1	0	0	0	2	0	1	0	3	0	0	1	2	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	2	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	3	0	1	1	0	1	0	2	0	1	0	1	0	0	0	2	0	1	0	0	0	0	2	0	0	0	4	0	0	1	1	1	0	3	2	0	2	0	0	3	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	2	5	0	0	0	2	0	1	0	0	1	0	0	0	0
Element Zero	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The True Meaning Of Food	0	0	0	0	0	1	0	0	2	1	0	0	0	2	0	0	0	0	5	1	0	3	1	0	0	1	0	3	2	0	0	0	1	2	2	0	2	2	6	0	2	1	0	0	3	1	0	1	0	0	1	0	2	0	0	2	2	2	0	1	4	0	0	2	0	1	0	1	1	0	1	2	0	0	0	1	7	0	0	1	0	1	0	1	1	1	4	3	0	2	2	0	0	1	2	1	0	3	0	0	0	0	0	0	0	1	2	0	0	1	2	0	0	1	0	0	0	1	3	1	0	0	2	1	3	0	0	0	1	9	2	1	1	1	0	1	0	0	2	5	1	1	0	0	0	0	0	0	0	1	0	7	0	0	2	1	0	0	1	2	1	0	1	3	1	0	2	0	0	0	6	0	0	3	1	0	0	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	5	1	7	0	0	0	4	1	1	2	0	0	0	1	0	0	0	0	1	0	3	0	1	0	0	2	0	7	0	1	0	0	0	1	0	0	1	0	1	5	3	0	0	0	0	2	0	0	0	1	0	0	0	0	1	3	1	3	5	0	0	2	0	0	0	0	0	0	0	0	1	3	1	0	0	0	1	0	0	1	1	0	0	0	1	1	3	3	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	4	2	0	0	0	3	0	5	0	1	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	4	0	0	0	0	4	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	0	0	4	1	0	2	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	1	0	0	1	0	0	0	0	5	0	0	5	0	1	2	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	6	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	8	1
Vinson Boys	3	1	2	2	0	1	1	1	2	0	0	2	0	2	6	2	1	0	0	2	0	0	0	1	7	3	0	0	0	2	1	1	0	0	0	1	0	1	2	3	1	3	5	0	1	0	0	3	1	0	0	0	0	0	5	0	1	1	2	2	0	2	0	2	1	3	3	1	0	1	2	5	1	1	2	1	0	2	2	0	1	1	0	1	1	0	5	0	2	4	2	1	0	0	0	5	0	1	7	2	1	3	0	0	7	2	0	0	1	0	0	4	11	0	0	3	0	1	0	0	1	1	0	1	1	0	0	0	3	1	8	0	3	1	2	1	4	2	2	1	0	0	1	0	1	0	0	2	7	2	1	0	1	2	0	0	0	0	2	0	2	2	1	2	3	0	1	3	3	3	0	1	2	1	2	0	0	5	4	1	0	0	0	1	0	0	3	1	4	1	4	0	2	1	6	0	0	2	6	0	1	0	1	2	0	0	5	3	0	0	0	5	1	4	1	0	0	0	1	10	0	0	0	0	0	1	4	9	0	1	0	3	1	1	1	0	1	2	1	8	2	1	1	0	1	0	0	0	0	1	1	0	0	3	0	0	0	0	1	3	0	0	1	2	0	0	0	1	5	0	0	1	0	0	4	0	0	1	3	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	2	0	1	1	1	1	1	1	0	0	1	0	3	0	0	4	1	0	0	2	0	1	0	1	0	0	0	1	0	1	0	1	0	2	0	0	0	0	1	5	1	0	1	1	1	0	0	0	0	0	1	1	0	2	0	0	1	1	1	2	2	0	0	1	0	0	0	3	0	0	1	1	0	0	2	0	2	0	0	0	0	0	0	1	0	1	0	7	0	0	1	0	0	1	0	0	0	2	1	0	1	0	0	1	2	0	2	0	0	0	0	1	2	0	0	1	0	2	0	2	0	2	3	1	2	1	0	0	1	2	0	1	0	0	0	0	0	1	0	0	3	1	4	2	0	1	0	1	1	0	2	0	1	1	0	2	0	0	2	0	1	0	2	0	1	1	0	0	13	1	0	0	5	0	0	1	0	2	4	0	0	0	0	0	0	3	1	0	0	0	2	1	2	0	1	0
The Fritz Facts	0	4	1	2	0	0	2	1	0	0	0	1	0	2	2	1	5	0	2	0	0	0	0	1	2	1	0	0	0	0	0	0	1	2	0	2	2	0	0	1	2	0	0	0	3	1	3	1	0	0	1	0	0	1	0	2	2	0	2	0	0	2	1	0	0	0	4	0	0	0	5	0	0	1	1	0	0	4	1	0	1	0	4	0	0	0	0	0	0	4	1	1	1	0	0	1	0	0	1	1	1	2	1	0	0	1	2	1	4	2	0	2	2	0	2	0	1	0	0	0	0	2	0	0	0	2	0	0	1	0	3	0	1	0	0	0	0	3	1	0	0	1	0	0	2	0	0	0	0	1	1	0	0	2	0	2	1	0	0	0	0	2	3	0	0	0	1	1	0	0	0	1	0	0	2	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	1	1	2	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	3	1	0	0	0	0	0	2	3	0	0	1	2	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	1	0	0	2	2	0	1	0	0	4	0	0	5	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	1	1	2	0	0	2	0	1	1	1	1	0	0	0	0	2	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0
PostcardsfromOMAHA	3	3	2	4	8	0	7	2	0	4	4	5	7	1	2	1	1	2	1	5	2	1	8	8	0	2	3	4	2	3	1	1	9	4	1	0	1	3	5	2	1	1	0	0	1	2	1	3	4	3	5	2	0	2	1	0	2	1	2	1	4	0	2	4	0	0	2	1	0	1	6	0	0	0	0	5	0	2	2	0	3	0	2	0	2	2	3	2	0	1	0	0	1	1	0	3	0	1	0	0	2	2	3	2	2	1	0	0	0	0	1	0	0	4	2	3	3	1	0	3	5	0	2	0	0	1	3	3	1	3	0	1	0	1	1	0	0	1	1	0	0	3	2	0	1	1	0	1	0	3	0	0	1	0	1	1	1	1	1	0	5	1	0	0	2	2	1	8	0	1	3	2	0	0	0	4	1	0	0	4	0	0	0	0	0	5	4	0	0	5	2	0	5	0	0	0	3	0	0	12	1	5	0	0	2	1	1	1	2	2	1	0	2	1	2	1	0	1	0	3	1	2	2	1	0	4	0	1	1	2	0	1	3	0	1	0	0	1	3	0	2	0	2	1	1	0	0	1	1	2	0	0	0	3	0	2	0	1	3	1	0	0	1	2	0	3	1	0	4	1	0	1	0	4	0	0	2	2	1	0	1	0	0	1	2	1	1	0	0	1	4	0	0	1	0	0	2	0	1	0	0	0	0	0	2	0	0	0	1	2	0	1	4	2	0	0	0	1	6	2	0	0	4	0	3	1	3	5	4	2	1	0	0	0	0	0	4	1	0	0	0	1	1	1	0	0	2	7	1	1	0	0	1	1	1	4	1	1	1	0	0	0	1	0	2	0	0	1	1	0	0	1	3	0	0	1	4	3	0	8	0	3	2	0	0	0	2	5	0	1	0	1	0	1	5	0	1	1	0	2	0	0	0	0	1	1	0	1	0	0	1	2	0	0	1	0	3	1	3	0	0	1	0	2	0	0	1	0	0	0	0	0	1	3	1	0	1	0	0	0	0	3	1	1	6	0	0	1	0	1	0	0	0	0	0	0	1	1	0	2	0	1	4	0	5	0	0	2	0	0	0	0	2	0	0	0	0	2	1	0	0	0	1	1	2	0	1	0	1	3	5	0	1	0	0	1	1	0	0	0
Island Snikles	0	2	3	1	1	0	2	0	0	3	2	2	5	1	6	1	0	1	1	1	0	1	0	0	0	1	0	0	1	1	2	0	3	11	3	0	1	2	3	2	0	0	0	3	2	4	2	1	1	3	0	1	0	4	1	3	1	0	8	0	4	0	0	1	0	3	0	2	1	1	4	1	1	1	2	4	0	3	1	0	2	1	1	2	1	1	3	7	1	2	0	1	3	1	0	0	0	3	3	2	1	3	2	2	1	1	4	1	1	0	1	2	2	0	0	1	1	2	3	1	2	0	0	2	3	0	0	0	2	1	1	0	0	2	2	0	3	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	3	0	1	0	0	1	0	0	0	2	1	0	6	3	1	1	2	0	0	3	1	0	3	0	0	1	0	4	0	4	0	0	0	0	0	0	0	1	5	1	1	0	0	0	0	1	0	5	0	0	6	1	1	0	0	2	1	0	3	0	1	1	0	0	2	1	0	0	1	1	3	0	1	1	1	3	0	0	0	0	0	0	0	0	2	1	0	0	1	0	2	0	0	2	2	0	0	0	4	0	2	1	0	0	0	0	1	0	0	5	0	0	0	0	6	0	0	0	0	3	1	1	0	2	0	0	4	1	7	0	0	1	0	1	0	1	1	2	1	0	1	3	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	3	3	0	0	1	1	0	0	2	5	0	0	0	0	0	1	2	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	1	0	0	1	3	1	0	0	1	0	0	0	0	0	0	5	0	0	1	1	0	0	0	0	0	8	0	2	4	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	4	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	3	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	0	0	2	5	1	0	1	0	0	0	2	1	0	1	0	1	2	0	2	0	0	0	0	0	0
American Bushman	2	0	0	2	0	0	0	0	0	2	0	0	1	1	0	0	1	2	1	2	0	0	2	0	1	2	1	0	1	2	0	1	1	0	3	0	1	0	0	0	0	0	2	0	1	3	5	0	2	3	1	0	1	1	1	1	0	2	2	1	0	0	0	0	0	1	4	3	2	1	1	1	0	1	0	0	1	3	0	0	2	0	0	0	4	0	0	1	1	0	3	1	2	1	0	1	1	1	2	0	1	0	0	0	0	0	3	1	2	0	0	2	0	0	2	0	0	0	1	0	1	0	0	0	1	2	1	0	0	1	0	1	1	0	0	0	1	0	0	2	1	2	1	2	0	3	2	0	0	0	4	0	0	2	2	0	1	1	0	0	1	0	3	3	5	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	2	1	1	7	1	0	0	1	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	2	0	0	1	0	0	2	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	1	2	1	2	0	2	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	2	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	2	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Annalena's kitchen	0	1	1	2	3	3	2	4	2	1	1	3	6	8	3	4	19	2	2	3	0	4	3	1	0	3	2	6	4	0	2	0	0	0	2	4	5	5	8	2	5	3	1	2	6	0	0	1	1	0	0	4	1	0	2	2	4	2	2	0	12	1	2	1	0	6	0	0	8	2	2	1	3	3	3	1	16	1	0	5	0	4	2	2	3	1	3	4	0	0	6	3	2	0	4	0	0	3	1	0	0	3	1	3	0	1	5	5	0	3	2	1	1	0	3	1	2	3	9	3	1	1	0	3	2	1	5	2	1	3	0	3	1	2	0	2	0	1	5	4	1	0	0	1	2	0	1	5	0	2	1	17	1	3	1	4	2	0	1	1	0	0	1	0	0	2	0	0	0	11	9	0	1	1	2	2	0	2	5	0	4	0	0	1	8	1	0	2	0	0	1	0	0	0	0	0	0	6	1	0	1	1	9	0	1	0	0	0	0	2	0	4	0	1	2	0	1	10	0	0	0	2	1	0	0	5	2	0	2	0	0	0	0	0	0	6	0	3	2	1	0	0	4	2	8	0	0	1	1	1	3	0	0	0	9	0	1	6	0	2	13	1	3	1	8	1	0	0	1	5	37	0	6	0	1	3	0	2	1	0	0	5	0	4	0	0	10	0	0	0	0	0	0	0	0	2	2	0	3	9	4	1	0	2	0	1	1	0	0	0	3	4	0	2	2	2	1	0	0	1	0	3	0	0	1	1	1	1	0	0	2	0	1	0	0	0	1	2	2	1	0	2	0	0	2	12	0	0	0	1	0	2	1	2	0	0	2	2	2	0	4	1	0	1	0	5	0	1	0	1	1	0	0	0	0	3	0	0	0	0	1	1	0	7	0	4	1	1	0	0	1	0	10	0	0	0	2	0	0	0	0	2	0	3	0	0	9	0	0	1	0	1	0	1	2	0	0	0	0	0	0	2	2	0	1	1	1	0	2	1	1	0	0	0	3	0	1	3	0	14	1	1	0	1	0	0	0	1	0	0	1	0	1	0	3	0	0	1	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	1	1	0	0	0	3	0	0	0	6	1	1	1	0	0	7	1	6	0	8	16	4
Perk Family Blog	0	0	4	1	0	0	1	0	0	0	0	1	3	3	0	0	0	1	0	2	0	0	0	5	0	1	0	2	0	0	1	1	2	3	2	1	0	3	2	1	1	0	0	1	0	1	0	3	0	3	1	0	0	0	0	0	0	1	1	2	4	0	3	4	2	0	1	5	0	1	1	1	0	0	0	0	0	0	2	0	3	1	0	0	2	0	0	0	2	1	0	0	0	1	0	0	1	0	2	1	9	0	2	2	0	1	2	1	1	8	0	3	0	0	0	1	2	0	0	0	0	5	1	2	0	0	1	0	1	0	0	2	4	1	1	0	2	1	2	6	0	0	0	1	1	0	1	2	0	0	1	0	0	0	1	0	2	1	1	1	1	7	0	1	0	0	0	1	1	0	1	1	2	0	0	1	1	1	1	0	0	0	0	0	1	2	4	0	0	0	0	2	5	1	1	1	1	0	0	0	0	0	0	0	0	6	1	5	0	0	0	0	3	3	2	0	0	0	2	1	0	7	0	0	0	0	0	11	0	0	1	2	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	2	0	5	4	0	1	0	2	8	2	1	0	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	1	2	0	2	0	0	1	0	1	0	0	3	0	0	0	0	1	0	2	0	0	0	1	1	1	2	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	3	0	5	0	4	0	0	1	0	1	7	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	1	1	0	0	1	0	5	1	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	1	0	1	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	3	3	0	0	2	0	1	0	0	0	0	1	2	0	0	0
Loose-Limbed Insouciance	8	5	5	3	11	9	8	7	4	13	12	11	8	8	10	5	33	5	12	4	6	8	13	5	2	2	0	8	9	3	12	7	2	1	4	13	11	8	13	9	5	4	1	12	10	6	4	13	14	3	12	6	3	6	2	8	5	7	3	1	17	5	9	3	5	3	1	0	11	1	14	2	3	8	4	5	65	2	2	24	2	5	5	3	4	3	4	2	1	0	1	2	1	1	12	1	3	7	1	5	1	14	3	2	3	0	5	8	39	1	8	5	2	8	12	3	10	4	9	4	3	11	3	1	9	7	10	3	12	32	5	3	4	9	3	11	3	6	0	21	0	5	5	29	3	1	1	16	2	4	5	15	5	10	1	3	3	2	5	2	1	2	7	0	2	2	4	3	1	4	3	2	3	6	6	1	7	3	2	6	8	3	12	5	5	3	10	4	2	2	4	3	6	4	6	7	7	7	0	19	5	8	3	1	2	1	1	8	0	5	2	20	10	0	0	1	4	8	1	5	1	0	4	1	3	4	1	13	16	4	3	6	8	6	4	18	7	2	2	1	1	3	7	3	27	4	3	5	3	4	7	4	3	5	0	0	6	6	1	1	50	4	4	0	14	0	0	0	1	6	12	0	35	2	3	3	0	4	1	5	0	9	0	6	0	3	23	6	1	0	2	2	1	2	3	2	2	3	3	30	5	9	8	3	1	1	1	1	3	1	4	1	5	8	2	1	1	8	3	2	1	3	8	4	1	5	1	3	13	6	0	8	4	7	3	3	0	3	0	5	1	1	1	0	1	8	0	2	2	1	3	5	5	0	2	2	2	2	5	2	7	2	1	3	10	3	0	5	0	3	0	5	2	1	0	2	2	7	2	1	3	3	6	13	4	4	0	4	0	0	3	1	6	20	0	0	1	0	4	1	0	7	2	34	1	3	6	1	0	3	11	12	1	4	12	7	1	9	6	3	2	0	4	3	2	1	7	2	2	4	0	11	3	1	16	1	2	3	8	11	1	7	1	3	0	7	0	3	1	2	3	1	3	1	2	1	0	2	1	0	0	1	2	6	3	17	3	4	1	0	0	2	1	2	3	3	3	1	0	1	26	0	2	2	1	1	1	12	0	1	1	0	0	2	9	4	2	0	30	8
DustysDinners	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	1	0	0	9	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
